iter	Passed	Remaining
0	1	108
1	1	90
2	2	78
3	3	79
4	4	76
5	4	72
6	5	75
7	6	73
8	7	71
9	7	68
10	8	67
11	8	65
12	9	63
13	10	66
14	11	66
15	13	71
16	14	70
17	15	68
18	15	67
19	16	65
20	16	63
21	17	62
22	18	61
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	28	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	41
43	32	40
44	32	39
45	33	38
46	33	37
47	34	37
48	34	36
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	37	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
